time,strategy,target,monitored,detected,compromised_node,compromised_ratio,avg_risk,Ud_val,Ua_val
0,Stackelberg,Device2,"['Device21', 'Device1', 'Device38', 'Device12', 'Device46']",False,True,0.02,0.538,-2.0,2.0
1,Stackelberg,Device25,"['Device21', 'Device1', 'Device38', 'Device12', 'Device46']",False,True,0.04,0.5428,-2.0,2.0
2,Stackelberg,Device27,"['Device21', 'Device1', 'Device38', 'Device12', 'Device46']",False,True,0.06,0.5466,-2.0,2.0
3,Stackelberg,Device1,"['Device21', 'Device1', 'Device38', 'Device12', 'Device46']",True,False,0.06,0.5482,1.0,-1.0
4,Stackelberg,Device42,"['Device1', 'Device21', 'Device38', 'Device12', 'Device46']",False,True,0.08,0.5524,-2.0,2.0
5,Stackelberg,Device46,"['Device1', 'Device21', 'Device38', 'Device12', 'Device46']",True,True,0.1,0.552,-1.0,1.0
6,Stackelberg,Device38,"['Device1', 'Device21', 'Device38', 'Device12', 'Device24']",True,True,0.12,0.5512,-1.0,1.0
7,Stackelberg,Device3,"['Device1', 'Device21', 'Device12', 'Device24', 'Device10']",False,False,0.12,0.5556,0.0,0.0
8,Stackelberg,Device10,"['Device1', 'Device21', 'Device12', 'Device24', 'Device10']",True,True,0.14,0.5562,-1.0,1.0
9,Stackelberg,Device19,"['Device1', 'Device21', 'Device12', 'Device24', 'Device48']",False,True,0.16,0.5608,-2.0,2.0
10,Stackelberg,Device48,"['Device1', 'Device21', 'Device12', 'Device24', 'Device48']",True,True,0.18,0.5616,-1.0,1.0
11,Stackelberg,Device1,"['Device1', 'Device21', 'Device12', 'Device24', 'Device6']",True,False,0.18,0.5626,1.0,-1.0
12,Stackelberg,Device32,"['Device1', 'Device21', 'Device12', 'Device24', 'Device6']",False,True,0.2,0.5686,-2.0,2.0
13,Stackelberg,Device49,"['Device1', 'Device21', 'Device12', 'Device24', 'Device6']",False,True,0.22,0.5736,-2.0,2.0
14,Stackelberg,Device24,"['Device1', 'Device21', 'Device12', 'Device24', 'Device6']",True,True,0.24,0.5736,-1.0,1.0
15,Stackelberg,Device1,"['Device1', 'Device21', 'Device12', 'Device6', 'Device3']",False,False,0.24,0.5784,0.0,0.0
